2002-08-11-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_265 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-19-big-img_423 : pred total 3, gt total 1, recall 1, miss 0, FP 2
2002-08-24-big-img_490 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17676 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_228 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_402 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-04-big-img_769 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-19-big-img_581 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_723 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_821 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_610 : pred total 4, gt total 6, recall 4, miss 2, FP 0
2002-08-13-big-img_1116 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-28-big-img_19238 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_660 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_607 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3708 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-19-big-img_511 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-07-big-img_1316 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_1047 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-23-big-img_474 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-27-big-img_970 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-09-02-big-img_15752 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16378 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-09-01-big-img_16189 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_276 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_518 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-14-big-img_1027 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-24-big-img_733 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_249 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_1371 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1348 : pred total 6, gt total 3, recall 3, miss 0, FP 3
2003-01-01-big-img_331 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-23-big-img_536 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_224 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-10-big-img_763 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_293 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_1211 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_1194 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2003-01-15-big-img_390 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-06-big-img_2893 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_691 : pred total 6, gt total 7, recall 6, miss 1, FP 0
2002-08-07-big-img_1695 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_829 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_201 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_36 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_763 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_637 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-22-big-img_592 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-25-big-img_817 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_1219 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3508 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_1108 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_488 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_704 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_1087 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-10-big-img_670 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_104 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19823 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16229 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_846 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_412 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_554 : pred total 8, gt total 7, recall 7, miss 0, FP 1
2002-08-12-big-img_331 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-08-02-big-img_533 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-12-big-img_259 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_328 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_630 : pred total 6, gt total 6, recall 6, miss 0, FP 0
2002-08-05-big-img_3541 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-06-big-img_2390 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_150 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-02-big-img_1231 : pred total 6, gt total 5, recall 5, miss 0, FP 1
2002-08-16-big-img_710 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-19-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_725 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_820 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_568 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-22-big-img_853 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-09-big-img_648 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_528 : pred total 7, gt total 7, recall 6, miss 1, FP 1
2003-01-14-big-img_888 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18201 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_965 : pred total 5, gt total 2, recall 2, miss 0, FP 3
2003-01-14-big-img_660 : pred total 7, gt total 5, recall 5, miss 0, FP 2
2002-07-19-big-img_517 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_406 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18433 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-07-big-img_1630 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2717 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_470 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-23-big-img_633 : pred total 2, gt total 2, recall 2, miss 0, FP 0
